         16028 function calls (15734 primitive calls) in 0.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      447    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       67    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
      280    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      111    0.000    0.000    0.000    0.000 argparse.py:1423(register)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        8    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      123    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      277    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 threading.py:1352(__init__)
      248    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       17    0.000    0.000    0.000    0.000 argparse.py:578(_format_args)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       41    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       13    0.000    0.000    0.000    0.000 argparse.py:1600(_get_optional_kwargs)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        7    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      352    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       17    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     21/7    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      226    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
